       DATE:  9/10/2013  
  RUN START:   3167    RUN FINISH:     3190 
REF1 =  1 REF2 = 4   REF3 = 5    
Events 10000  
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE43-CERN070   2 230
2  2 2  2  RE43-CERN004   3 230
3  3 3  3  RE43-CERN071   4 230
4  4 4  4  RE43-CERN077   5 230
5  5 5  5  RE43-CERN074   6 230
RUN  HV TRG  RUN HV TRG  RUN HV TRG
3167  8600 DOUBLE  3175 8600 TOP  3183 8600 BOT
3168  8800 DOUBLE  3176 8800 TOP  3184 8800 BOT
3169  9000 DOUBLE  3177 9000 TOP  3185 9000 BOT
3170  9200 DOUBLE  3178 9200 TOP  3186 9200 BOT
3171  9400 DOUBLE  3179 9400 TOP  3187 9400 BOT
3172  9600 DOUBLE  3180 9600 TOP  3188 9600 BOT
3173  9800 DOUBLE  3181 9800 TOP  3189 9800 BOT
3174  10000 DOUBLE  3182 10000 TOP  3190 10000 BOT
